Funcion,Blo,Bup,Max evals,Tamaño,Dimension,Omega,Phip,Phig,Lr,Tiempo,Mejor sol
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.7,0.04147934913635254,-0.9999548976750241
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.5,0.04517555236816406,-0.9900793716782238
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.5,0.0433650016784668,-0.999970704723554
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.7,0.04556536674499512,-0.9869019955343447
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.7,0.04564237594604492,-0.9998257744198258
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.5,0.04583120346069336,-0.9990943532712708
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.5,0.04141998291015625,-0.9991704016256614
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.7,0.047365665435791016,-0.9993905216520581
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.7,0.03992342948913574,-0.9997152958291463
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.5,0.04475116729736328,-0.9952398651235983
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.5,0.04528522491455078,-0.9997457347031652
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.7,0.04838418960571289,-0.9996283263211735
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.7,0.043711185455322266,-0.9992734106161885
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.5,0.04601597785949707,-0.9994724587016247
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.5,0.04244422912597656,-0.99988956970404
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.7,0.045102834701538086,-0.9989396266503499
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.7,0.052420854568481445,-0.9997674676753089
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.5,0.046391963958740234,-0.9758495040772757
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.5,0.05703306198120117,-0.9996254097316214
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.7,0.04613232612609863,-0.9975751040569898
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.7,0.04560136795043945,-0.9998411804381673
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.5,0.04708576202392578,-0.9986427236128627
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.5,0.043649911880493164,-0.9999830576105557
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.7,0.0512089729309082,-0.9997459748331001
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.7,0.04435276985168457,-0.999948252669521
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.5,0.04562687873840332,-0.9923031378624819
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.5,0.04384636878967285,-0.9997207078540115
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.7,0.053301095962524414,-0.9997544845213481
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.7,0.04331851005554199,-0.9981681478693276
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.5,0.05247187614440918,-0.9966718323047953
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.5,0.0473785400390625,-0.9999986647652174
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.7,0.045267581939697266,-0.9987026513339874
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.7,0.04309225082397461,-0.9998697768582333
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.5,0.05109810829162598,-0.9928421688857909
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.5,0.044037580490112305,-0.9998555139267472
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.7,0.05333995819091797,-0.9999009404669804
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.7,0.041797637939453125,-0.9990979450319647
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.5,0.04726839065551758,-0.9999336623729519
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.5,0.043720245361328125,-0.999955959530804
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.7,0.046247005462646484,-0.9992216333164642
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.7,0.044721364974975586,-0.999602171867883
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.5,0.04549813270568848,-0.9837833680877527
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.5,0.042882680892944336,-0.9992577502872421
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.7,0.049434661865234375,-0.9943872489944081
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.7,0.04987025260925293,-0.9998800678116834
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.5,0.04777264595031738,-0.9989281556510166
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.5,0.04473161697387695,-0.9990204482740597
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.7,0.044902801513671875,-0.999355185232616
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.7,0.05010390281677246,-0.9999482858895004
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.5,0.04644441604614258,-0.9997761240057462
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.5,0.04355502128601074,-0.9996337984011776
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.7,0.04636883735656738,-0.9999340920803425
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.7,0.04322695732116699,-0.998300841992073
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.5,0.04650998115539551,-0.9972041345649348
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.5,0.043535709381103516,-0.9998067841304675
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.7,0.04774618148803711,-0.9985886433433407
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.7,0.04311704635620117,-0.9995977160816631
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.5,0.04648160934448242,-0.9999732112197824
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.5,0.04507184028625488,-0.999737668542889
